1458
dsp_l:  34
prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	614638	0	706507	0	rand	2	0.0	0.0	1458
64	0	614638	1	706507	1	rand	4	-1.0	-1.0	1458
64	0	614638	547	706507	2180	rand	6	-2180.0	-1.0	1458
64	0	614638	3417	706507	16127	rand	8	-16127.0	-1.0	1458
64	2	614638	6125	706507	31389	rand	10	-31215.8947107	-0.994485160747	1458
64	1	614638	9047	706507	52134	rand	12	-52047.4473553	-0.998339804261	1458
64	4	614638	12329	706507	79775	rand	14	-79428.7894214	-0.995660161972	1458
64	5	614638	16062	706507	115668	rand	16	-115235.236777	-0.996258574339	1458
64	6	614638	20119	706507	162255	rand	18	-161735.684132	-0.9967993845	1458
64	5	614638	24158	706507	214621	rand	20	-214188.236777	-0.997983593296	1458
64	9	614638	38765	706507	449953	rand	25	-449174.026198	-0.998268766289	1458
64	14	614638	52079	706507	689611	rand	30	-688399.262975	-0.998242868769	1458
64	12	427206	47597	706507	706513	rand	35	-705448.368264	-0.998529864334	1458
64	10	328205	44102	706507	706509	rand	40	-705614.473553	-0.998774874807	1458
64	12	264211	41413	706507	706522	rand	45	-705446.368264	-0.998529860173	1458
64	9	223711	39101	706507	706513	rand	50	-705719.026198	-0.998897415418	1458
64	9	188058	36138	706507	706535	rand	55	-705726.026198	-0.998897426342	1458
64	11	160097	33267	706507	706523	rand	60	-705530.920909	-0.99865236801	1458
64	12	136076	31502	706507	706515	rand	65	-705430.368264	-0.998529826877	1458
64	10	117180	29745	706507	706525	rand	70	-705633.473553	-0.998774907754	1458
64	10	94625	26858	706507	706541	rand	75	-705608.473553	-0.998774864402	1458
64	11	79862	24934	706507	706558	rand	80	-705551.920909	-0.998652408067	1458
64	12	67459	23021	706507	706533	rand	85	-705424.368264	-0.998529814391	1458
64	9	59706	21962	706507	706534	rand	90	-705713.026198	-0.998897406054	1458
64	6	53323	21228	706507	706519	rand	95	-705929.684132	-0.999264892628	1458
64	11	49320	20613	706507	706559	rand	100	-705551.920909	-0.998652408067	1458
64	8	42584	19389	706507	706518	rand	110	-705805.578843	-0.999019924816	1458
64	9	38516	18891	706507	706545	rand	120	-705716.026198	-0.998897410736	1458
